from,to,length,path
29,35,2963,"[29, 32, 33, 36, 35]"
29,36,1957,"[29, 32, 33, 36]"
29,37,2824,"[29, 32, 33, 36, 37]"
29,46,1854,"[29, 47, 46]"
29,47,938,"[29, 47]"
29,48,680,"[29, 48]"
29,49,1548,"[29, 48, 49]"
29,50,1261,"[29, 48, 50]"
29,51,881,"[29, 51]"
29,52,1545,"[29, 51, 52]"
29,53,1663,"[29, 48, 53]"
29,54,1902,"[29, 51, 54]"
29,55,2216,"[29, 51, 52, 55]"
29,56,2989,"[29, 51, 52, 55, 56]"
29,57,2486,"[29, 51, 52, 57]"
29,58,3317,"[29, 51, 52, 57, 58]"
29,66,2486,"[29, 47, 46, 66]"
29,68,3111,"[29, 48, 50, 69, 68]"
29,69,2356,"[29, 48, 50, 69]"
29,70,2056,"[29, 48, 50, 70]"
29,71,2862,"[29, 48, 50, 70, 71]"
29,72,2872,"[29, 48, 50, 70, 72]"
29,73,2234,"[29, 48, 50, 73]"
29,74,2396,"[29, 51, 54, 74]"
29,76,2995,"[29, 51, 54, 74, 76]"
29,77,3246,"[29, 51, 54, 77]"
29,78,3684,"[29, 51, 52, 57, 78]"
29,79,3167,"[29, 51, 54, 74, 79]"
29,80,3768,"[29, 51, 54, 74, 79, 80]"
29,85,4063,"[29, 48, 50, 69, 68, 85]"
29,86,3953,"[29, 48, 50, 69, 68, 86]"
29,88,4359,"[29, 48, 50, 70, 71, 89, 88]"
29,89,3528,"[29, 48, 50, 70, 71, 89]"
29,90,3549,"[29, 48, 50, 70, 72, 90]"
29,91,4159,"[29, 48, 50, 70, 71, 89, 91]"
29,92,4299,"[29, 48, 50, 70, 72, 90, 92]"
29,93,3564,"[29, 48, 50, 73, 93]"
29,94,3981,"[29, 51, 54, 74, 76, 94]"
29,95,6842,"[29, 48, 50, 73, 93, 95]"
29,96,4478,"[29, 51, 54, 74, 76, 94, 96]"
29,97,4181,"[29, 51, 54, 74, 79, 97]"
29,104,6385,"[29, 48, 50, 69, 68, 85, 104]"
29,105,5238,"[29, 48, 50, 69, 68, 85, 105]"
29,106,4923,"[29, 48, 50, 70, 71, 89, 88, 106]"
29,108,5526,"[29, 48, 50, 70, 71, 89, 88, 106, 108]"
29,109,4804,"[29, 48, 50, 70, 71, 89, 91, 109]"
29,110,4869,"[29, 48, 50, 70, 72, 90, 92, 110]"
29,111,5470,"[29, 48, 50, 70, 71, 89, 91, 109, 111]"
29,112,5578,"[29, 48, 50, 70, 72, 90, 92, 110, 112]"
29,116,4165,"[29, 20, 19, 116]"
29,117,3941,"[29, 32, 33, 36, 35, 117]"
29,118,4846,"[29, 32, 33, 36, 35, 117, 118]"
29,119,4030,"[29, 32, 33, 36, 37, 119]"
29,120,4815,"[29, 32, 33, 36, 37, 119, 120]"
